ResponseId,LanguageHaveWorkedWith
52403,C#;Haskell;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript
54735,JavaScript;PHP;Python
54830,Java;JavaScript;Python;SQL
55232,HTML/CSS;JavaScript;TypeScript
57090,HTML/CSS;JavaScript;PHP
57231,HTML/CSS;Java;JavaScript;SQL;TypeScript
59076,HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript
59354,HTML/CSS;JavaScript;PHP
60129,Assembly;Bash/Shell;C++;HTML/CSS;Java;JavaScript;Matlab;PHP;SQL;TypeScript;VBA
60359,C#;HTML/CSS;JavaScript;PHP;SQL
60438,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL
60964,C#;Java;PHP;Python;SQL
63537,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
65849,C#;Java;Python;SQL
69371,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript
71274,PHP;R;SQL
72233,JavaScript;Python;Ruby
73442,C;C++;Dart;Go;JavaScript;Kotlin;Node.js;PowerShell;Python;Rust;TypeScript
74470,C;C++;Go;JavaScript;Python
75464,Crystal;HTML/CSS;JavaScript;Kotlin;Node.js;PowerShell;SQL;TypeScript
77065,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
77126,Go;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript
78453,Bash/Shell;Haskell;HTML/CSS;JavaScript;Node.js;Python;Rust;TypeScript
79721,C;C++;Dart;JavaScript;Node.js;Python;TypeScript
80034,Bash/Shell;HTML/CSS;JavaScript;Matlab;Node.js;Perl;Python;SQL;TypeScript
81768,C;C#;C++;Java;Matlab;Python;SQL;VBA
82046,C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL;TypeScript
82088,C++;Matlab;Python
83276,Java;JavaScript;Python
83330,HTML/CSS;Java;JavaScript;Python;TypeScript
